iter	Passed	Remaining
710	3887	1580
711	3892	1574
712	3898	1569
713	3903	1563
714	3908	1557
715	3913	1552
716	3918	1546
717	3924	1541
718	3930	1536
719	3935	1530
720	3940	1524
721	3945	1519
722	3950	1513
723	3955	1508
724	3960	1502
725	3965	1496
726	3970	1490
727	3976	1485
728	3981	1479
729	3985	1474
730	3991	1468
731	3996	1463
732	4002	1457
733	4007	1452
734	4012	1446
735	4018	1441
736	4023	1435
737	4027	1429
738	4032	1424
739	4038	1418
740	4043	1413
741	4048	1407
742	4053	1402
743	4059	1396
744	4064	1391
745	4070	1385
746	4075	1380
747	4081	1374
748	4086	1369
749	4091	1363
750	4096	1358
751	4101	1352
752	4107	1347
753	4112	1341
754	4117	1336
755	4122	1330
756	4128	1325
757	4134	1320
758	4139	1314
759	4145	1308
760	4150	1303
761	4155	1297
762	4159	1292
763	4165	1286
764	4169	1280
765	4174	1275
766	4180	1269
767	4185	1264
768	4190	1258
769	4196	1253
770	4201	1247
771	4206	1242
772	4211	1236
773	4216	1231
774	4221	1225
775	4226	1220
776	4232	1214
777	4238	1209
778	4243	1203
779	4247	1197
780	4252	1192
781	4258	1187
782	4263	1181
783	4269	1176
784	4275	1170
785	4280	1165
786	4286	1160
787	4291	1154
788	4296	1149
789	4302	1143
790	4308	1138
791	4313	1132
792	4319	1127
793	4325	1122
794	4331	1116
795	4337	1111
796	4342	1105
797	4348	1100
798	4354	1095
799	4359	1089
800	4365	1084
801	4371	1079
802	4377	1073
803	4383	1068
804	4389	1063
805	4395	1057
806	4400	1052
807	4406	1046
808	4411	1041
809	4417	1036
810	4423	1030
811	4429	1025
812	4435	1020
813	4441	1014
814	4446	1009
815	4451	1003
816	4456	998
817	4460	992
818	4464	986
819	4468	980
820	4474	975
821	4479	970
822	4484	964
823	4490	959
824	4495	953
825	4501	948
826	4506	942
827	4512	937
828	4517	931
829	4522	926
830	4528	920
831	4533	915
832	4539	910
833	4545	904
834	4550	899
835	4556	893
836	4562	888
837	4566	882
838	4571	877
839	4577	871
840	4582	866
841	4586	860
842	4591	855
843	4598	849
844	4604	844
845	4609	839
846	4614	833
847	4620	828
848	4625	822
849	4631	817
850	4636	811
851	4642	806
852	4647	800
853	4653	795
854	4658	790
855	4663	784
856	4668	779
857	4674	773
858	4679	768
859	4684	762
860	4689	757
861	4694	751
862	4700	746
863	4706	740
864	4711	735
865	4717	729
866	4722	724
867	4727	718
868	4732	713
869	4738	707
870	4742	702
871	4747	696
872	4753	691
873	4759	686
874	4764	680
875	4770	675
876	4775	669
877	4781	664
878	4786	658
879	4791	653
880	4797	647
881	4802	642
882	4807	636
883	4812	631
884	4817	625
885	4821	620
886	4826	614
887	4832	609
888	4837	603
889	4842	598
890	4848	593
891	4853	587
892	4858	582
893	4863	576
894	4869	571
895	4874	565
896	4879	560
897	4884	554
898	4889	549
899	4894	543
900	4899	538
901	4905	532
902	4910	527
903	4914	521
904	4920	516
905	4925	511
906	4930	505
907	4936	500
908	4941	494
909	4946	489
910	4951	483
911	4957	478
912	4962	472
913	4968	467
914	4973	462
915	4978	456
916	4984	451
917	4990	445
918	4995	440
919	5001	434
920	5006	429
921	5012	424
922	5018	418
923	5023	413
924	5029	407
925	5034	402
926	5040	396
927	5045	391
928	5050	386
929	5056	380
930	5061	375
931	5067	369
932	5073	364
933	5078	358
934	5084	353
935	5089	347
936	5094	342
937	5099	337
938	5105	331
939	5110	326
940	5116	320
941	5121	315
942	5127	309
943	5133	304
944	5139	299
945	5144	293
946	5149	288
947	5154	282
948	5160	277
949	5165	271
950	5171	266
951	5176	260
952	5181	255
953	5186	250
954	5192	244
955	5197	239
956	5203	233
957	5208	228
958	5214	222
959	5219	217
960	5224	212
961	5230	206
962	5235	201
963	5240	195
964	5244	190
965	5249	184
966	5255	179
967	5259	173
968	5264	168
969	5270	163
970	5276	157
971	5282	152
972	5287	146
973	5293	141
974	5299	135
975	5304	130
976	5310	125
977	5316	119
978	5321	114
979	5325	108
980	5331	103
981	5336	97
982	5342	92
983	5348	86
984	5353	81
985	5358	76
986	5363	70
987	5369	65
988	5375	59
989	5380	54
990	5386	48
991	5391	43
992	5396	38
993	5401	32
994	5406	27
995	5410	21
996	5416	16
997	5421	10
998	5426	5
999	5433	0
